antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
"frozenset({'$10K - $30K', 'Manual', '0'})",frozenset({'Partial High School'}),0.06701682715689135,0.30094348798754983,0.06497422429724735,0.9695210449927432,3.221604997921911,0.044805946578793714,22.935711275075192,0.7391298512233249
"frozenset({'Y', 'Manual', '$10K - $30K'})",frozenset({'Partial High School'}),0.06195895340920144,0.30094348798754983,0.06001361735239762,0.9686028257456828,3.218553862796175,0.041367473801374455,22.26494990759647,0.7348308031731927
"frozenset({'$10K - $30K', 'Manual', 'F'})",frozenset({'Partial High School'}),0.05174593911098142,0.30094348798754983,0.05009240346269818,0.9680451127819548,3.2167006478704843,0.034519800057448057,21.876356728860156,0.7267276603923529
"frozenset({'$10K - $30K', 'Manual'})",frozenset({'Partial High School'}),0.10514541387024609,0.30094348798754983,0.10144927536231885,0.9648473635522664,3.2060749013189564,0.06980644776631248,19.88631814435417,0.7689429530201343
"frozenset({'Skilled Manual', 'Y', '$10K - $30K'})",frozenset({'Partial High School'}),0.05767921408423305,0.30094348798754983,0.055636611224589044,0.9645868465430016,3.205209233777828,0.03827842735369934,19.740024363018208,0.7301206741235643
"frozenset({'$10K - $30K', 'Manual', 'M'})",frozenset({'Partial High School'}),0.05339947475926466,0.30094348798754983,0.05135687189962066,0.9617486338797815,3.195778185170664,0.03528664770886443,18.275334528325516,0.7258470182714943
"frozenset({'Skilled Manual', '$10K - $30K', '0'})",frozenset({'Partial High School'}),0.06273708783192296,0.30094348798754983,0.06020815095807801,0.9596899224806202,3.1889373280618156,0.04132783291975784,17.34197885569351,0.7323621838139288
"frozenset({'Skilled Manual', '$10K - $30K'})",frozenset({'Partial High School'}),0.10329734461628247,0.30094348798754983,0.09911487209415426,0.9595103578154425,3.1883406556886116,0.06802820890547825,17.265070133888845,0.7654234369625982
"frozenset({'Professional', '$50K - $70K'})",frozenset({'Bachelors Degree'}),0.1019356093765198,0.25474175663845927,0.09697500243167007,0.9513358778625953,3.7345109432246444,0.07100774623508362,15.314326255743001,0.8153394440877055
"frozenset({'0', 'Y', '$10K - $30K'})",frozenset({'Partial High School'}),0.06244528742340239,0.30094348798754983,0.05904094932399572,0.9454828660436138,3.14172894175643,0.04024844671841193,12.822693734628382,0.72710841612867
