antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
"frozenset({'Canada', 'Prelude'})",frozenset({'F'}),3.827583755734541e-05,0.5104356337111705,3.280786076343892e-05,0.8571428571428571,1.6792378911928991,1.3270509364029494e-05,3.4269505640218054,0.4045072435238449
"frozenset({'Canada', 'ADJ'})",frozenset({'M'}),6.561572152687784e-05,0.4895643662888295,4.921179114515838e-05,0.75,1.5319742441334478,1.7088672017268123e-05,2.041742534844682,0.3472702980060625
"frozenset({'Canada', 'Gerolli'})",frozenset({'F'}),0.00013669941984766217,0.5104356337111705,9.842358229031676e-05,0.72,1.4105598286020353,2.864732729242596e-05,1.748444165317248,0.29110141323990324
"frozenset({'Canada', 'Gauss'})",frozenset({'M'}),0.0002460589557257919,0.4895643662888295,0.0001695072806111011,0.6888888888888889,1.4071467131299817,4.904558388151261e-05,1.6406859655001909,0.2894132616605074
"frozenset({'Canada', 'Curlew'})",frozenset({'M'}),8.748762870250379e-05,0.4895643662888295,6.0147744732971356e-05,0.6875,1.4043097237889939,1.7316919229117678e-05,1.6333940278757457,0.2879315667571613
"frozenset({'Tip Top', 'Canada'})",frozenset({'F'}),0.00010389155908422325,0.5104356337111705,7.108369832078433e-05,0.6842105263157895,1.3404442815662618,1.8053744522387323e-05,1.5502871599146268,0.2540050781749531
"frozenset({'Canada', 'Toretti'})",frozenset({'M'}),6.561572152687784e-05,0.4895643662888295,4.3743814351251896e-05,0.6666666666666667,1.3617548836741762,1.1620695223361641e-05,1.5313069011335119,0.2656708827534164
"frozenset({'Canada', 'King'})",frozenset({'M'}),4.921179114515838e-05,0.4895643662888295,3.280786076343892e-05,0.6666666666666666,1.361754883674176,8.715521417521228e-06,1.5313069011335114,0.26566652449227335
"frozenset({'Canada', 'James Bay'})",frozenset({'M'}),0.00014216739664156867,0.4895643662888295,9.295560549641027e-05,0.6538461538461537,1.3355672897573647,2.3355514052648046e-05,1.4745918307211587,0.25129022389401673
"frozenset({'Mexico', 'Genteel'})",frozenset({'F'}),0.000574137563360181,0.5104356337111705,0.0003718224219856411,0.6476190476190476,1.2687575177901906,7.87621509944998e-05,1.3893042827115432,0.21194901819178924
